"Saison","Championnat","Joueur","Équipe","Place","Âge","Valeur.marchande","Contrat.expiration","Pays.de.naissance","Passeport.pays","Pied","Prêté","Taille","Poids","Matchs.joués","Minutes.jouées","Expected.Goal","Buts.par.90.min","G.XG","Taux.de.conversion.but.tir","Buts.de.la.tête.sur.90.min","Touches.de.balle.dans.la.surface.de.réparation.sur.90.min","Buts.hors.penalty.par.90","penalty.par.90.min","Tirs.cadrés","Dribbles.par.90.min","Dribbles.réussis","PCT_Dribbles.réussis","Efficacité.Buts","Duels.offensifs.par.90.min","Duels.offensifs.réussis","PCT_Duels.offensifs.réussis","Centres","Centres.réussis","PCT_Centres.réussis","Courses.progressives.par.90.min","Possession.ajustée","Duels.aériens.par.90.min","Duels.aériens.réussis","PCT_Duels.aériens.réussis","PAdj.Sliding.tackles","Succ..déf..sur.90","Duels.defensifs.par.90.min","Duels.defensifs.réussis","PCT_Duels.defensifs.réussis","Tacles.glissés.sur.90.min","Fautes.par.90.min","Cartons.jaunes.par.90.min","Cartons.rouges.par.90.min","Tirs.bloqués.par.90","Interceptions..sur.90.min","PAdj.Interceptions","Longueur.moyenne.de.passe.longue.en.m","Passes.par.90.min","Passes.réussies","PCT_Passes.réussies","Passes.avant.par.90","Passes.avant.réussies","PCT_Passes.avant.réussies","PCT_Passes.avant","Passes.arrière.par.90","Passes.arrière.réussies","PCT_Passes.arrière.réussies","PCT_Passes.arrière","Passes.latérales.par.90","Passes.latérales.réussies","PCT_Passes.latérales.réussies","PCT_Passes.latérales","PCT_Passes.longues.réussies","Passe.moyenne.longueur..m","Lng.passes.par.90","Passes.décisives.par.90.min","Passes.quasi.décisives.par.90","Réalisations.en.profondeur.par.90","Expected.Pass.D","Secondes.passes.décisives.par.90","Troisièmes.passes.décisives.par.90","Passes.judicieuses.par.90","Passes.judicieuses.réussies","PCT_Passes.judicieuses.réussies","Passes.der.tiers","Passes.der.tiers.réussies","PCT_Passes.der.tiers.réussies","Passes.surface.réparation","Passes.surface.réparation.réussies","PCT_Passes.surface.réparation.réussies","PCT_Passes.surface.réparation","Passes.profondeur","Passes.profondeur.réussies","PCT_Passes.profondeur.réussies","PCT_Passes.profondeur","Passes.progressives.par.90","Passes.progressives.réussies","PCT_Passes.progressives.réussies","PCT_Passes.progressives","milieu_def","Poste","note","vingtile_Expected.Goal","vingtile_Buts.par.90.min","vingtile_G.XG","vingtile_Taux.de.conversion.but.tir","vingtile_Buts.de.la.tête.sur.90.min","vingtile_Touches.de.balle.dans.la.surface.de.réparation.sur.90.min","vingtile_Buts.hors.penalty.par.90","vingtile_penalty.par.90.min","vingtile_Tirs.cadrés","vingtile_Dribbles.par.90.min","vingtile_Dribbles.réussis","vingtile_PCT_Dribbles.réussis","vingtile_Efficacité.Buts","vingtile_Duels.offensifs.par.90.min","vingtile_Duels.offensifs.réussis","vingtile_PCT_Duels.offensifs.réussis","vingtile_Centres","vingtile_Centres.réussis","vingtile_PCT_Centres.réussis","vingtile_Courses.progressives.par.90.min","vingtile_Possession.ajustée","vingtile_Duels.aériens.par.90.min","vingtile_Duels.aériens.réussis","vingtile_PCT_Duels.aériens.réussis","vingtile_PAdj.Sliding.tackles","vingtile_Succ..déf..sur.90","vingtile_Duels.defensifs.par.90.min","vingtile_Duels.defensifs.réussis","vingtile_PCT_Duels.defensifs.réussis","vingtile_Tacles.glissés.sur.90.min","vingtile_Fautes.par.90.min","vingtile_Cartons.jaunes.par.90.min","vingtile_Cartons.rouges.par.90.min","vingtile_Tirs.bloqués.par.90","vingtile_Interceptions..sur.90.min","vingtile_PAdj.Interceptions","vingtile_Longueur.moyenne.de.passe.longue.en.m","vingtile_Passes.par.90.min","vingtile_Passes.réussies","vingtile_PCT_Passes.réussies","vingtile_Passes.avant.par.90","vingtile_Passes.avant.réussies","vingtile_PCT_Passes.avant.réussies","vingtile_PCT_Passes.avant","vingtile_Passes.arrière.par.90","vingtile_Passes.arrière.réussies","vingtile_PCT_Passes.arrière.réussies","vingtile_PCT_Passes.arrière","vingtile_Passes.latérales.par.90","vingtile_Passes.latérales.réussies","vingtile_PCT_Passes.latérales.réussies","vingtile_PCT_Passes.latérales","vingtile_PCT_Passes.longues.réussies","vingtile_Passe.moyenne.longueur..m","vingtile_Lng.passes.par.90","vingtile_Passes.décisives.par.90.min","vingtile_Passes.quasi.décisives.par.90","vingtile_Réalisations.en.profondeur.par.90","vingtile_Expected.Pass.D","vingtile_Secondes.passes.décisives.par.90","vingtile_Troisièmes.passes.décisives.par.90","vingtile_Passes.judicieuses.par.90","vingtile_Passes.judicieuses.réussies","vingtile_PCT_Passes.judicieuses.réussies","vingtile_Passes.der.tiers","vingtile_Passes.der.tiers.réussies","vingtile_PCT_Passes.der.tiers.réussies","vingtile_Passes.surface.réparation","vingtile_Passes.surface.réparation.réussies","vingtile_PCT_Passes.surface.réparation.réussies","vingtile_PCT_Passes.surface.réparation","vingtile_Passes.profondeur","vingtile_Passes.profondeur.réussies","vingtile_PCT_Passes.profondeur.réussies","vingtile_PCT_Passes.profondeur","vingtile_Passes.progressives.par.90","vingtile_Passes.progressives.réussies","vingtile_PCT_Passes.progressives.réussies","vingtile_PCT_Passes.progressives","vingtile_note"
"2025/2026","National 1 - J13","J. Gromat","Le Puy F.43 Auvergne","CF, LCMF, DMF",28,150000,"","France","France, Martinique","droite","non",174,66,12,614,0.203745928338762,0.15,0.73621103117506,10,0,2.05,0.15,0,0.588,1.76,0.586608,33.33,0.719424460431655,4.4,1.32,30,1.47,0.588,40,0.59,1.2,2.79,1.174869,42.11,0.18,3.81,4.25,2.49135,58.62,0.15,0.73,0.29,0,0,1.17,1.47,18.47,35.47,27.996471,78.93,9.53,5.718,60,0.268677755850014,9.53,8.503619,89.23,0.268677755850014,8.36,7.039956,84.21,0.235692134197914,40,15.42,2.2,0.15,0.29,0.59,0.1,0,0,0,0,0,4.84,3.37348,69.7,1.91,1.028535,53.85,0.0538483225260784,0.59,0.004307,0.73,0.0166337750211446,3.66,3.0744,84,0.103185790809134,TRUE,"Avant Centre",6.633436705041,15,13,8,11,7,13,13,9,13,9,6,1,9,7,5,2,12,13,15,4,5,10,10,9,6,2,5,5,8,7,4,16,8,2,1,1,4,11,11,9,8,7,4,7,19,18,4,17,6,7,10,1,3,2,7,15,11,10,13,6,7,2,4,4,12,13,12,11,12,15,9,10,14,15,9,5,6,18,2,2
"2025/2026","Ligue 2 - J14","Q. Paris","Annecy","CF, RWF, LWF",19,0,"","France","France","","non",0,0,12,584,0.157191780821918,0.31,1.97211328976035,25,0,4.32,0.31,0,0.76875,4.62,2.772,60,1.96078431372549,16.95,6.008775,35.45,1.7,0,25,2.16,1.32258064516129,10.48,2.311888,25,0.41,6.16,6.32,3.082896,48.78,0.31,4.01,0.62,0,0,2.77,3.7,4.54,18.18,11.709738,64.41,4.78,1.850338,38.71,0.262926292629263,6.16,5.698,92.5,0.338833883388339,3.24,2.160108,66.67,0.178217821782178,33.33,17.64,0.46,0,0,0.15,0.01,0,0,0.31,0,0,1.7,0.77265,45.45,1.39,0.308858,22.22,0.0764576457645764,0.15,0.000225,0.15,0.00825082508250825,0.92,0.46,50,0.0506050605060506,FALSE,"Avant Centre",6.57602444238205,13,16,17,18,7,19,17,9,15,16,17,13,18,19,19,5,13,1,3,16,9,20,16,1,12,7,12,8,2,12,20,20,8,2,8,7,0,2,1,1,3,1,0,6,13,13,8,19,0,0,2,0,1,8,1,4,1,2,3,6,7,13,4,4,3,1,1,8,4,2,13,2,5,6,5,0,0,1,0,1
"2025/2026","National 1 - J13","J. Tell","Concarneau","CF",28,350000,"","Guadeloupe","Guadeloupe, France","droite","non",185,74,8,578,0.14636678200692,0.47,3.21111111111111,21.429,0.31,1.87,0.47,0,1.401522,2.34,1.092078,46.67,3.19148936170213,8.41,2.336298,27.78,0.47,0.313349,66.67,1.25,0,4.05,0.93474,25,0,4.36,3.74,2.493458,66.67,0,1.25,0.16,0,0.16,1.87,2.18,23.96,23.67,19.932507,84.21,2.49,1.8675,75,0.105196451204056,8.56,7.31452,85.45,0.36163920574567,7.94,6.849838,86.27,0.335445711871567,75,14.54,1.09,0,0.16,0.47,0.02,0,0,0.16,0.16,100,1.25,0.9375,75,0.78,0.312,40,0.0329531051964512,0.47,0.000752,0.16,0.0198563582594001,1.4,0.77784,55.56,0.0591465990705534,FALSE,"Avant Centre",6.9194753778874,13,18,19,17,20,12,19,9,19,11,10,5,19,13,10,1,6,10,19,10,1,14,8,1,1,4,3,5,15,1,12,10,8,10,4,2,6,4,6,14,1,1,15,0,18,17,2,20,6,7,12,11,20,1,4,4,7,8,5,6,7,9,14,19,1,2,16,4,4,7,6,8,7,7,11,1,1,1,0,10
"2025/2026","National 1 - J13","A. Ahmed","Châteauroux","CF, LAMF",22,100000,"2026-06-30","France","France, Comoros","","non",173,69,8,578,0.267820069204152,0.16,0.597416020671835,8.333,0,2.02,0.16,0,0.623271,4.83,2.492763,51.61,0.581395348837209,12.61,4.202913,33.33,1.25,0.46875,37.5,2.34,1.70212765957447,3.27,0.778587,25,0.8,4.52,3.74,1.4025,37.5,0.47,1.87,0.16,0.16,0.16,2.65,4.51,15.45,18.69,14.639877,78.33,5.61,3.895584,69.44,0.30016051364366,4.52,4.20812,93.1,0.241840556447298,4.83,3.739386,77.42,0.258426966292135,75,16.51,1.25,0,0.31,1.09,0.05,0,0,0,0,0,2.65,2.026455,76.47,1.71,1.088244,63.64,0.0914927768860353,1.09,0.001744,0.16,0.0583199571963617,3.11,2.799,90,0.166399143927234,FALSE,"Avant Centre",6.36237494225635,16,13,7,9,7,13,14,9,14,17,16,8,8,18,16,4,11,12,13,16,19,12,6,1,17,4,3,1,0,15,18,10,20,10,7,9,3,2,3,9,4,5,11,9,7,8,9,15,2,2,7,3,20,5,4,4,11,16,8,6,7,2,4,4,5,7,17,10,13,18,15,16,10,7,18,4,5,20,11,0
"2025/2026","National 1 - J13","Y. Lasme","Paris 13 Atletico","CF",26,0,"","Côte d'Ivoire","Côte d'Ivoire, France","","non",0,0,13,574,0.163066202090592,0.47,2.88226495726496,60,0.16,2.2,0.47,0,0.468,0.16,0.16,75,2.88461538461538,7.68,1.567488,25,0.16,0,25,0.94,1.4375,12.86,5,56.1,0.23,3.92,2.67,1.413498,52.94,0.16,2.51,0.16,0,0.31,2.35,3.46,7.94,17.56,12.855676,73.21,2.51,1.098125,43.75,0.142938496583144,6.59,5.648289,85.71,0.375284738041002,5.02,3.608376,71.88,0.285876993166287,50,17.79,0.31,0,0.16,0,0.02,0,0,0,0,0,1.25,0.78125,62.5,0.16,0.16,100,0.00911161731207289,0,0,0,0,1.57,0.785,50,0.0894077448747153,FALSE,"Avant Centre",6.8020867842116,13,18,19,20,19,13,19,9,12,1,2,19,19,12,6,0,3,1,3,8,14,20,20,16,8,3,1,1,3,7,19,10,8,14,6,7,1,2,2,4,1,0,0,0,14,12,2,20,2,2,4,5,8,8,1,4,7,0,5,6,7,2,4,4,1,1,7,0,2,20,1,0,2,1,0,1,1,1,1,6
"2025/2026","Ligue 2 - J14","C. Fatou","Boulogne","CF, LCMF",26,0,"","France","France","unknown","non",0,0,13,568,0.386619718309859,0.48,1.24153005464481,30,0,2.38,0.32,0.16,0.79,0.32,0.32,75,1.22950819672131,3.01,0.950558,31.58,1.27,0.47625,37.5,0.79,1.3125,5.86,1.108712,25,0.21,4.12,3.17,2.219,70,0.16,1.27,0,0,0,1.74,2.29,14.85,16.16,11.090608,68.63,2.85,0.949905,33.33,0.176361386138614,4.12,3.803172,92.31,0.254950495049505,4.91,3.326034,67.74,0.303836633663366,25,16.79,0.95,0.16,0.48,0.63,0.07,0,0,0.16,0,0,1.11,0.317127,28.57,0.95,0.316635,33.33,0.0587871287128713,0.63,0.003024,0.48,0.0389851485148515,0.63,0.4725,75,0.0389851485148515,FALSE,"Avant Centre",6.8373193508812,18,18,14,19,7,14,17,19,15,2,4,19,14,5,3,3,11,12,13,6,9,18,9,1,7,3,2,4,17,7,12,1,8,2,3,3,3,1,1,2,1,0,0,1,6,6,8,16,2,2,2,7,0,5,3,16,15,11,10,6,7,9,4,4,1,0,0,5,4,4,10,11,12,12,16,0,0,12,0,7
"2025/2026","National 1 - J13","M. Boumaaoui","Bourg-en-Bresse","CF",21,0,"2028-06-30","France","France, Morocco","droite","oui",187,77,7,543,0.732596685082873,0.33,0.450452488687783,10.526,0,4.14,0.17,0.16,1.823535,1.33,0.83125,62.5,0.452488687782805,8.12,2.154236,26.53,0.33,0,25,0.33,0,5.3,1.65625,31.25,0,3.31,4.48,2.654848,59.26,0,1.82,0,0,0.17,0.66,0.92,18.62,13.59,8.783217,64.63,3.15,1.326465,42.11,0.231788079470199,4.81,4.47811,93.1,0.353936718175129,2.15,0.661555,30.77,0.158204562178072,25,14.36,0.83,0.17,0.33,0.83,0.13,0,0,0,0,0,1.33,0.49875,37.5,0.99,0.329967,33.33,0.0728476821192053,0.83,0,0,0.061074319352465,0.99,0.495,50,0.0728476821192053,FALSE,"Avant Centre",6.9246872269727,20,17,6,11,7,18,14,19,20,7,8,15,7,13,9,1,5,1,3,2,1,17,13,4,1,2,5,5,8,1,17,1,8,10,0,0,4,1,0,1,1,1,0,4,8,9,9,20,0,0,0,0,0,1,3,16,12,13,15,6,7,2,4,4,2,1,0,6,5,4,12,13,2,1,19,0,0,1,1,11
"2025/2026","National 1 - J13","A. Ntamack","Dijon","CF",21,0,"","France","France","droite","non",175,0,13,530,0.409245283018868,0.34,0.830797602581835,11.765,0,4.75,0.34,0,1.019881,5.77,4.412319,75,0.829875518672199,11.72,5.605676,47.83,4.08,1.02,25,2.72,0,2.72,0.17,25,0,2.72,3.23,2.040068,63.16,0,1.02,0.17,0,0,0.68,1.12,8.42,19.19,14.265846,74.34,2.04,1.699932,83.33,0.106305367378843,6.62,5.771316,87.18,0.344971339239187,4.92,3.223584,65.52,0.256383533090151,50,19.1,0.68,0.51,0.68,0.51,0.33,0,0,0,0,0,0.51,0.51,100,1.02,0.51,50,0.0531526836894216,0.51,0.004335,0.85,0.0265763418447108,1.19,1.19,100,0.0620114643043252,FALSE,"Avant Centre",7.0124511851535,18,17,9,12,7,19,17,9,17,18,19,19,10,17,18,14,19,17,3,17,1,10,1,1,1,1,2,3,12,1,9,10,8,2,0,0,1,2,3,5,0,1,19,0,14,13,2,20,2,2,2,2,8,12,2,20,18,9,20,6,7,2,4,4,0,1,20,6,7,12,9,9,14,16,13,1,2,20,0,13
"2025/2026","Ligue 2 - J14","R. Messi","Pau","CF, RAMF",18,0,"","France","France, Cameroon","droite","oui",175,64,8,524,0.121946564885496,0.34,2.78810641627543,40,0,2.58,0.34,0,0.516,2.75,1.890625,68.75,2.8169014084507,8.76,2.919708,33.33,1.37,0.17125,25,1.89,0,1.72,0.688,40,0,4.12,4.29,2.574,60,0,0.86,0,0,0,1.55,1.9,17.78,24.22,19.237946,79.43,4.12,2.746804,66.67,0.170107349298101,7.39,6.70273,90.7,0.305119735755574,7.56,6.357204,84.09,0.312138728323699,57.14,14.96,1.2,0,0.34,2.4,0.2,0,0.17,0,0,0,2.06,1.373402,66.67,2.75,1.890625,68.75,0.113542526837325,2.4,0.00408,0.17,0.0990916597853014,3.44,2.752,80,0.142031379025599,FALSE,"Avant Centre",6.8903867447326,12,17,19,20,7,14,17,9,13,13,15,17,19,14,12,4,11,7,3,15,1,4,5,8,1,3,5,5,9,1,6,1,8,2,2,2,4,5,5,10,2,3,8,1,16,15,5,19,5,6,10,8,14,2,4,4,12,20,18,6,20,2,4,4,4,4,10,15,18,19,18,20,13,7,20,4,5,16,7,9
"2025/2026","Ligue 2 - J14","W. Harhouz","Le Mans","CF",25,0,"","France","France","unknown","non",0,0,11,518,0.484749034749035,0.69,1.42341696535245,30.769,0,6.08,0.69,0,0.869196,2.26,1.04299,46.15,1.4336917562724,7.12,2.084024,29.27,2.08,0.693264,33.33,1.74,1.41176470588235,7.3,3.82374,52.38,0.24,5.04,4.86,2.082996,42.86,0.17,2.43,0.35,0.17,0.17,2.78,3.84,1.84,19.81,13.379674,67.54,6.08,3.300832,54.29,0.306915699141848,4.86,3.992004,82.14,0.245330641090358,4.34,2.9512,68,0.219081272084806,25,16.52,0.35,0,1.22,1.74,0.25,0,0,0,0,0,1.74,0.87,50,2.26,1.564598,69.23,0.114083796062595,1.74,0.012006,0.69,0.0878344270570419,1.91,1.736381,90.91,0.0964159515396265,FALSE,"Avant Centre",6.77122793533346,19,19,15,19,7,20,20,9,16,11,10,5,16,11,9,2,14,14,11,14,13,19,19,14,8,5,7,3,1,8,19,18,20,10,8,8,0,3,2,1,5,4,2,10,9,7,1,16,1,1,2,1,0,5,1,4,20,19,19,6,7,2,4,4,3,2,2,13,17,19,18,19,18,15,20,2,3,20,2,5
"2025/2026","Ligue 2 - J14","A. Salama","Reims","CF, RAMF, LAMF",25,0,"","France","France, Morocco","droite","non",192,78,9,512,0.3322265625,0.35,1.05349794238683,14.286,0.18,4.92,0.35,0,0.878466,3.69,2.28411,61.9,1.05820105820106,7.21,2.813342,39.02,1.58,0.877848,55.56,2.11,0,2.11,0.879237,41.67,0,3.69,3.52,1.408,40,0,1.23,0.18,0,0.35,2.29,3.31,21.2,23.55,17.92626,76.12,3.69,1.932822,52.38,0.156687898089172,4.92,4.216932,85.71,0.208917197452229,8.26,7.205198,87.23,0.350743099787686,75,16.14,0.7,0,0.53,0.7,0.03,0,0.18,0,0,0,1.41,0.88125,62.5,1.41,0.88125,62.5,0.0598726114649681,0.7,0.0049,0.7,0.029723991507431,2.81,1.931875,68.75,0.11932059447983,FALSE,"Avant Centre",6.8037933721668,17,17,12,14,20,19,18,9,16,15,16,14,12,12,12,7,12,16,19,16,1,7,7,9,1,2,3,1,0,1,12,11,8,15,6,6,5,4,5,7,2,1,1,1,9,8,2,13,6,8,12,12,20,4,2,4,16,12,6,6,20,2,4,4,2,2,7,8,11,18,10,12,14,15,13,3,3,7,4,6
"2025/2026","Ligue 2 - J14","G. Capuano","Boulogne","CF",19,0,"","France","France","unknown","oui",0,0,8,511,0.420939334637965,0.18,0.427615062761506,8.333,0.18,7.75,0.18,0,0.5275,2.29,1.409266,61.54,0.418410041841004,6.69,1.936755,28.95,1.06,0.176702,25,0.7,0,7.75,2.290125,29.55,0,2.29,2.47,0.705679,28.57,0,1.76,0.18,0,0.18,1.59,1.76,15.06,16.73,11.271001,67.37,2.64,1.935912,73.33,0.157800358637179,5.81,4.04957,69.7,0.347280334728033,4.58,3.170734,69.23,0.273759713090257,25,19.15,0.7,0,0,1.23,0.04,0,0,0,0,0,1.23,1.054233,85.71,0.7,0.175,25,0.0418410041841004,1.23,0.002214,0.18,0.0735206216377765,1.94,1.234616,63.64,0.115959354453078,FALSE,"Avant Centre",6.5733064838154,18,14,6,9,20,20,14,9,13,11,12,14,7,11,8,2,10,7,3,5,1,19,16,4,1,0,1,0,0,1,17,11,8,11,3,1,3,2,1,1,1,1,14,1,12,7,0,20,2,2,3,4,0,12,2,4,1,17,7,6,7,2,4,4,1,3,19,4,3,2,7,17,11,7,19,2,2,4,4,1
"2025/2026","National 1 - J13","A. Gnanduillet","Caen","CF",33,250000,"2026-06-30","France","France, Côte d'Ivoire","droite","non",194,93,12,502,0.272509960159363,0.36,1.32105263157895,15.385,0.18,4.12,0.36,0,1.075295,0.72,0.54,75,1.31578947368421,6.45,2.329095,36.11,0.54,0,25,0,1.66666666666667,9.86,4.48137,45.45,0.3,2.51,3.05,1.25599,41.18,0.18,3.05,0.18,0,0,1.08,1.78,0,10.4,6.81408,65.52,2.69,1.076,40,0.258653846153846,0.9,0.9,100,0.0865384615384615,4.12,3.403532,82.61,0.396153846153846,25,15.73,0,0,0,0,0,0,0,0,0,0,1.25,0.71425,57.14,0,0,0,0,0,0,0,0,1.08,0.54,50,0.103846153846154,FALSE,"Avant Centre",6.6796356747495,16,17,14,14,20,18,18,9,18,5,6,19,15,11,10,5,6,1,3,0,19,20,19,11,9,1,2,1,0,8,20,11,8,2,1,1,0,0,0,1,1,0,0,6,0,0,19,4,1,2,10,16,0,3,0,4,1,0,1,6,7,2,4,4,1,1,4,0,0,0,0,0,2,1,0,1,0,1,2,3
"2025/2026","National 1 - J13","I. Seydi","Rouen","CF",27,0,"2026-06-30","Senegal","Senegal","","non",0,0,7,502,0.433864541832669,0.9,2.07438016528926,41.667,0.18,3.05,0.9,0,1.791595,3.23,1.794588,55.56,2.06611570247934,8.43,4.483917,53.19,1.25,0.178625,25,1.43,0,4.3,1.25431,29.17,0,3.76,2.33,1.613059,69.23,0,1.08,0.36,0,0,2.15,2.57,16.64,15.24,10.936224,71.76,2.33,1.075295,46.15,0.152887139107612,5.02,4.840786,96.43,0.329396325459318,4.48,2.8672,64,0.293963254593176,33.33,14.65,0.54,0,0.18,0.36,0.07,0,0,0,0,0,0.9,0.18,20,1.43,0.53625,37.5,0.0938320209973753,0.36,0.000648,0.18,0.0236220472440945,0.9,0.54,60,0.0590551181102362,FALSE,"Avant Centre",7.2556846656339,19,20,18,20,20,16,20,9,20,14,14,10,18,13,16,17,11,7,3,12,1,15,10,4,1,2,1,2,17,1,10,18,8,2,5,4,3,1,1,3,0,0,0,1,9,10,16,19,1,1,1,6,1,1,1,4,8,6,10,6,7,2,4,4,0,0,0,8,7,6,16,6,6,7,12,0,0,2,0,18
"2025/2026","National 1 - J13","B. El Kaddouri","Aubagne","RWF, LWB, AMF",23,0,"2026-06-30","France","France","droite","non",182,74,13,1188,0.122727272727273,0.08,0.651851851851852,10,0,1.89,0.08,0,0.456,2.95,1.43724,48.72,0.617283950617284,7.95,3.104475,39.05,1.74,0.605172,34.78,3.03,0,0.76,0.38,50,0,4.39,3.64,2.578212,70.83,0,0.3,0.08,0,0,1.82,2.44,31.1,28.71,22.42251,78.1,9.77,6.967964,71.32,0.340299547196099,4.17,3.639159,87.27,0.145245559038662,7.95,6.13263,77.14,0.276907001044932,56.67,16.98,2.27,0.08,0.61,0.61,0.16,0.08,0,0.3,0.15,50,3.41,2.273447,66.67,1.97,0.757662,38.46,0.068617206548241,0.61,0.003721,0.61,0.021246952281435,4.85,3.258715,67.19,0.168930686172065,FALSE,"Ailier",6.862434521643,12,9,8,11,7,12,10,9,12,13,13,6,8,13,13,7,13,14,12,18,1,1,2,13,1,4,3,5,18,1,0,4,8,2,4,3,11,7,7,8,8,9,12,12,6,6,2,7,6,6,6,4,13,6,8,11,17,10,17,16,7,13,14,15,8,8,10,11,10,6,12,10,13,14,11,8,7,6,11,8
"2025/2026","Ligue 2 - J14","M. Ifnaoui","Troyes","RW, RAMF",27,0,"2027-06-30","France","France","gauche","non",178,63,13,1090,0.0990825688073395,0.17,1.71574074074074,14.286,0,2.31,0.17,0,0.414236,3.96,2.392632,60.42,1.66666666666667,8.67,3.963057,45.71,2.15,0.909665,42.31,2.31,1.28,1.49,0.579461,38.89,0.32,4.38,2.48,1.488,60,0.25,0.41,0,0,0,2.64,3.38,35.49,32.2,25.67628,79.74,9.58,6.359204,66.38,0.297515527950311,7.1,7.01764,98.84,0.220496894409938,9.74,7.758884,79.66,0.302484472049689,58.97,18.16,3.22,0.25,0.58,1.24,0.16,0.08,0,0.5,0.08335,16.67,3.72,1.901292,51.11,3.22,1.48603,46.15,0.1,1.24,0.011284,0.91,0.0385093167701863,5.61,4.454901,79.41,0.174223602484472,FALSE,"Ailier",7.130780858383,10,13,17,14,7,13,14,9,11,15,16,14,17,13,15,13,15,16,15,16,8,3,4,8,10,4,1,1,9,10,1,1,8,2,7,6,15,9,9,10,8,8,8,9,15,16,19,14,8,9,8,7,15,9,10,18,17,17,17,16,7,16,11,8,8,6,2,17,16,10,16,17,18,16,16,9,11,16,12,16
"2025/2026","National 1 - J13","M. Hafid","Caen","RW, RAMF",20,0,"2026-06-30","France","France, Morocco","gauche","non",175,72,13,1051,0.0488106565176023,0,0,0,0,3.6,0,0,0.256188,4.97,2.998898,60.34,0,10.02,4.966914,49.57,4.2,1.45698,34.69,4.88,1.44444444444444,1.8,0.25722,25,0.13,5.91,3.77,2.484807,65.91,0.09,0.34,0.09,0,0,3.34,5.09,38.95,34.94,25.946444,74.26,8.65,5.652775,65.35,0.24756725815684,8.99,8.134152,90.48,0.257298225529479,12.42,8.907624,71.72,0.355466514024041,53.13,19.03,2.74,0.17,0.77,1.11,0.26,0.09,0,0.09,0,0,3,1.9713,65.71,3.6,1.71432,47.62,0.103033772180882,1.11,0.015207,1.37,0.0317687464224385,5.74,4.54034,79.1,0.164281625643961,FALSE,"Ailier",7.135839857024,6,3,3,3,7,17,3,9,9,17,18,14,3,15,17,15,19,19,12,20,14,5,1,1,5,7,3,5,14,5,1,5,8,2,10,11,18,11,9,5,7,7,7,5,18,18,5,16,12,10,4,13,11,12,9,16,19,16,19,17,7,6,4,4,6,7,9,18,17,11,17,16,19,19,14,10,11,16,10,16
"2025/2026","Ligue 2 - J14","G. Versini","Pau","RW, RAMF, RWF",21,0,"2028-06-30","France","France","gauche","non",167,59,13,983,0.195015259409969,0.27,1.38450704225352,17.647,0,3.3,0.27,0,0.550524,7.32,4.209,57.5,1.40845070422535,12.45,5.583825,44.85,4.39,1.188812,27.08,5.4,0,1.19,0.366163,30.77,0,4.21,3.48,2.47254,71.05,0,0.55,0,0,0,1.74,2.28,18.39,27.19,19.041157,70.03,7.42,4.76364,64.2,0.272894446487679,4.67,4.303872,92.16,0.171754321441706,8.15,5.311355,65.17,0.299742552408974,57.14,17.22,1.28,0.09,0.73,1.46,0.17,0,0,0.27,0.089991,33.33,2.11,1.376142,65.22,4.58,1.7404,38,0.168444280985656,1.46,0.01606,1.1,0.0536962118425892,4.58,3.664,80,0.168444280985656,FALSE,"Ailier",6.909832203172,14,16,15,16,7,16,16,9,13,19,19,12,16,17,18,12,19,18,8,20,1,2,2,4,1,3,3,5,18,1,2,1,8,2,3,3,4,6,5,2,6,6,6,7,8,8,7,10,6,5,1,7,14,6,4,12,18,18,17,6,7,12,11,11,4,4,9,19,18,6,20,18,19,18,18,7,8,16,11,10
"2025/2026","Ligue 2 - J14","A. Boakye","Saint-Étienne","RWF, LWF, CF",25,0,"","Ghana","Ghana","gauche","non",178,71,13,961,0.194797086368366,0.28,1.43739316239316,12.5,0,3.65,0.28,0,0.84375,2.9,1.77741,61.29,1.44230769230769,9.27,3.651453,39.39,0.94,0.188,25,1.87,1.55555555555556,1.59,0.561111,35.29,0.14,7.02,5.34,3.372744,63.16,0.09,1.5,0.28,0,0.47,3.56,5.35,13.87,37.18,30.625166,82.37,8.99,6.274121,69.79,0.241796664873588,11.52,10.676736,92.68,0.309844002151694,8.52,6.741024,79.12,0.229155459924691,30,15.95,0.94,0.47,1.31,2.53,0.31,0.19,0.09,0.47,0.188,40,3,1.9689,65.63,2.72,2.063392,75.86,0.0731576116191501,2.53,0.002277,0.09,0.0680473372781065,4.31,3.654018,84.78,0.115922538999462,FALSE,"Ailier",7.133789252755,14,16,15,12,7,17,16,9,16,13,14,14,16,14,14,8,9,7,3,14,17,4,4,6,5,9,8,9,12,5,15,16,8,17,10,12,2,12,12,13,8,8,11,5,20,20,8,19,7,7,8,1,1,3,3,20,20,20,20,19,18,15,15,12,6,7,9,15,19,20,12,20,11,5,19,6,8,19,4,16
